Month,Weekday,Total_Movement_Pips,Rank
January,Thursday,14570.0439453125,1
January,Friday,14560.009765625,2
January,Monday,9209.9853515625,3
January,Tuesday,8100.0,4
January,Wednesday,6039.990234375,5
February,Tuesday,20839.9658203125,1
February,Friday,16699.9755859375,2
February,Thursday,14650.0,3
February,Monday,14459.9853515625,4
February,Wednesday,10909.9853515625,5
March,Monday,14060.0341796875,1
March,Thursday,12000.0244140625,2
March,Tuesday,11800.0,3
March,Friday,11030.0048828125,4
March,Wednesday,9180.0048828125,5
April,Wednesday,43719.9951171875,1
April,Thursday,31599.9755859375,2
April,Tuesday,26030.029296875,3
April,Monday,25970.01953125,4
April,Friday,25899.9755859375,5
May,Thursday,41250.0244140625,1
May,Tuesday,23239.9658203125,2
May,Friday,20990.0390625,3
May,Monday,18439.990234375,4
May,Wednesday,14260.009765625,5
June,Monday,26790.0146484375,1
June,Friday,19179.98046875,2
June,Tuesday,18019.9951171875,3
June,Wednesday,11809.9609375,4
June,Thursday,9990.0146484375,5
July,Wednesday,19759.9853515625,1
July,Tuesday,14749.9755859375,2
July,Monday,13869.9951171875,3
July,Thursday,12869.9951171875,4
July,Friday,8230.0048828125,5
August,Friday,24230.029296875,1
August,Thursday,12260.009765625,2
August,Tuesday,11759.9853515625,3
August,Monday,10190.0146484375,4
August,Wednesday,8269.9951171875,5
September,Tuesday,25140.0146484375,1
September,Monday,23529.98046875,2
September,Wednesday,13909.9609375,3
September,Thursday,10390.0146484375,4
September,Friday,8689.990234375,5
October,Thursday,46109.9853515625,1
October,Tuesday,40340.0146484375,2
October,Friday,37900.0,3
October,Monday,37750.0,4
October,Wednesday,30869.9951171875,5
November,Friday,30679.9560546875,1
November,Wednesday,24930.029296875,2
November,Monday,22429.98046875,3
November,Thursday,14280.0048828125,4
November,Tuesday,12910.009765625,5
December,Tuesday,27539.990234375,1
December,Monday,27420.01953125,2
December,Wednesday,24599.951171875,3
December,Friday,22179.98046875,4
December,Thursday,12929.98046875,5
