type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd,Images,Say,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,swap_usd,trade_pnl,capital
sell,0.01,0.01,XAUUSD,4328.29,4330.277,4332.349,4302.701,-0.11,-1.99,user,2025-12-31 15:51:50,2025-12-31 16:02:50,"1min , 5min.png, 5min.png","right biasness, fomo entry, bad execution",,,,,,,,0,-2.1,101.57000000000001
buy,0.02,0.02,XAUUSD,4330.075,4328.599,4328.599,4335.461,-0.22,-2.95,sl,2025-12-31 16:05:00,2025-12-31 16:08:07,all,"Revenge Execution, Fomo entry, double position size",,,,,,,,0,-3.1700000000000004,98.4
sell,0.01,0.01,XAUUSD,4328.34,4330.138,4329.943,,-0.11,-1.8,sl,2025-12-31 16:10:25,2025-12-31 16:16:57,,"eki zone e bar bar entry , biasness thiki ache but sm tighter sl loss er karon",,,,,,,,0,-1.9100000000000001,96.49
sell,0.01,0.01,XAUUSD,4326.082,4318.48,4325.704,4318.48,-0.11,7.6,tp,2025-12-31 16:23:09,2025-12-31 16:30:01,,"finally sothik dike move kore, and baki sob trade er loss recover",,,,,,,,0,7.489999999999999,103.98
sell,0.01,0.01,XAUUSD,4310.353,4308.76,4312.888,,-0.11,1.59,user,2025-12-31 16:39:58,2025-12-31 16:41:31,,,,,,,,,,0,1.48,105.46
sell,0.01,0.01,XAUUSD,4307.755,4308.818,4311.436,4289.786,-0.11,-1.06,user,2025-12-31 16:37:04,2025-12-31 17:01:13,,,,,,,,,,0,-1.1700000000000002,104.29
sell,0.01,0.01,XAUUSD,4307.242,4305.684,4309.611,4291.948,-0.11,1.56,user,2025-12-31 17:02:12,2025-12-31 17:04:13,,,,,,,,,,0,1.45,105.74
buy,0.01,0.01,XAUUSD,4314.92,4312.1,4312.1,4324.526,-0.11,-2.82,sl,2025-12-31 17:14:03,2025-12-31 17:18:48,,,,,,,,,,0,-2.9299999999999997,102.81
sell,0.01,0.01,XAUUSD,4312.392,4311.281,4313.279,4309.076,-0.11,1.11,user,2025-12-31 17:32:47,2025-12-31 17:34:38,,,,,,,,,,0,1.0,103.81
sell,0.01,0.01,XAUUSD,4311.823,4313.654,4315.759,4278.185,-0.11,-1.83,user,2025-12-31 17:25:56,2025-12-31 17:38:23,,,,,,,,,,0,-1.9400000000000002,101.87
sell,0.01,0.01,XAUUSD,4312.57,4314.848,4314.848,,-0.11,-2.28,sl,2025-12-31 17:48:57,2025-12-31 17:49:56,Trade 5,,,,,,,,,0,-2.3899999999999997,99.48
buy,0.02,0.02,XAUUSD,4315.673,4313.466,4313.466,,-0.22,-4.42,sl,2025-12-31 17:50:46,2025-12-31 17:51:04,,,,,,,,,,0,-4.64,94.84
sell,0.01,0.01,XAUUSD,4312.486,4310.763,4315.948,,-0.11,1.73,user,2025-12-31 17:54:20,2025-12-31 18:00:31,,,,,,,,,,0,1.6199999999999999,96.46
sell,0.01,0.01,XAUUSD,4310.691,4308.776,4312.825,4308.23,-0.11,1.91,user,2025-12-31 18:03:23,2025-12-31 18:05:10,,,,,,,,,,0,1.7999999999999998,98.26
sell,0.01,0.01,XAUUSD,4307.922,4310.649,4310.649,,-0.11,-2.73,sl,2025-12-31 18:07:32,2025-12-31 18:08:45,,,,,,,,,,0,-2.84,95.42
