type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
sell,0.01,0.01,XAUUSD,4328.29,4330.277,4332.349,4302.701,-0.11,0,-1.99,user,2025-12-31 15:51:50.188,2025-12-31 16:02:50.048
buy,0.02,0.02,XAUUSD,4330.075,4328.599,4328.599,4335.461,-0.22,0,-2.95,sl,2025-12-31 16:05:00.413,2025-12-31 16:08:06.693
sell,0.01,0.01,XAUUSD,4328.34,4330.138,4329.943,,-0.11,0,-1.8,sl,2025-12-31 16:10:25.095,2025-12-31 16:16:56.896
sell,0.01,0.01,XAUUSD,4326.082,4318.48,4325.704,4318.48,-0.11,0,7.6,tp,2025-12-31 16:23:09.343,2025-12-31 16:30:01.244
sell,0.01,0.01,XAUUSD,4310.353,4308.76,4312.888,,-0.11,0,1.59,user,2025-12-31 16:39:57.796,2025-12-31 16:41:30.574
sell,0.01,0.01,XAUUSD,4307.755,4308.818,4311.436,4289.786,-0.11,0,-1.06,user,2025-12-31 16:37:04.495,2025-12-31 17:01:13.013
sell,0.01,0.01,XAUUSD,4307.242,4305.684,4309.611,4291.948,-0.11,0,1.56,user,2025-12-31 17:02:12.041,2025-12-31 17:04:13.260
buy,0.01,0.01,XAUUSD,4314.92,4312.1,4312.1,4324.526,-0.11,0,-2.82,sl,2025-12-31 17:14:02.534,2025-12-31 17:18:47.783
sell,0.01,0.01,XAUUSD,4312.392,4311.281,4313.279,4309.076,-0.11,0,1.11,user,2025-12-31 17:32:47.167,2025-12-31 17:34:37.945
sell,0.01,0.01,XAUUSD,4311.823,4313.654,4315.759,4278.185,-0.11,0,-1.83,user,2025-12-31 17:25:55.673,2025-12-31 17:38:23.472
sell,0.01,0.01,XAUUSD,4312.57,4314.848,4314.848,,-0.11,0,-2.28,sl,2025-12-31 17:48:56.884,2025-12-31 17:49:56.168
buy,0.02,0.02,XAUUSD,4315.673,4313.466,4313.466,,-0.22,0,-4.42,sl,2025-12-31 17:50:46.349,2025-12-31 17:51:03.792
sell,0.01,0.01,XAUUSD,4312.486,4310.763,4315.948,,-0.11,0,1.73,user,2025-12-31 17:54:19.810,2025-12-31 18:00:30.707
