ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1952727629,2026-01-20T19:01:29.505000,2026-01-20T19:06:34.922000,sell,0.1,0.1,XAUUSD,4758.866,4759.388,4760.439,4752.637,-1.1,0,-5.22,-0.33,,so
1952730118,2026-01-20T19:04:23.237000,2026-01-20T19:06:34.921000,sell,0.1,0.1,XAUUSD,4757.859,4759.388,,,-1.1,0,-15.29,-0.33,,so
1952721283,2026-01-20T18:55:31.356000,2026-01-20T18:58:54.021000,sell,0.1,0.1,XAUUSD,4756.394,4759.554,4759.681,,-1.1,0,-31.6,,,user
1952720172,2026-01-20T18:54:34.773000,2026-01-20T18:58:54.010000,sell,0.1,0.1,XAUUSD,4754.29,4759.554,,,-1.1,0,-52.64,,,user
1952716547,2026-01-20T18:52:26.942000,2026-01-20T18:53:13.060000,buy,0.1,0.2,XAUUSD,4757.836,4756.911,4756.911,4761.336,-2.2,0,-9.25,,,sl
1952716547,2026-01-20T18:52:26.942000,2026-01-20T18:52:59.993000,buy,0.1,0.2,XAUUSD,4757.836,4758.331,4756.911,4761.336,,0,4.95,,,user
1952715549,2026-01-20T18:51:30.391000,2026-01-20T18:51:49.360000,buy,0.05,0.05,XAUUSD,4758.1,4757.145,4757.145,4762.848,-0.55,0,-4.77,,,sl
1952714475,2026-01-20T18:50:00.871000,2026-01-20T18:51:49.235000,buy,0.05,0.05,XAUUSD,4759.231,4757.073,4757.421,4763.195,-0.55,0,-10.79,,,sl
1952710028,2026-01-20T18:44:37.777000,2026-01-20T18:46:21.860000,sell,0.1,0.1,XAUUSD,4758.707,4757.363,4760.161,4756.604,-1.1,0,13.44,,,user
1952701268,2026-01-20T18:37:06.239000,2026-01-20T18:37:31.190000,buy,0.1,0.1,XAUUSD,4760.793,4759.832,4759.832,,-1.1,0,-9.61,,,sl
1952694324,2026-01-20T18:28:19.270000,2026-01-20T18:35:51.473000,buy,0.02,0.1,XAUUSD,4761.304,4759.921,4759.921,4764.978,-1.1,0,-2.77,,,sl
1952694324,2026-01-20T18:28:19.270000,2026-01-20T18:32:39.784000,buy,0.03,0.1,XAUUSD,4761.304,4762.6320000000005,4759.921,4764.978,,0,3.99,,,user
1952694324,2026-01-20T18:28:19.270000,2026-01-20T18:29:46.951000,buy,0.05,0.1,XAUUSD,4761.304,4761.3330000000005,4759.921,4764.978,,0,0.15,,,user
1952687714,2026-01-20T18:23:32.631000,2026-01-20T18:23:58.725000,buy,0.1,0.1,XAUUSD,4763.908,4763.204,,,-1.1,0,-7.04,,,user
1952687258,2026-01-20T18:23:12.627000,2026-01-20T18:23:17.742000,buy,0.05,0.05,XAUUSD,4763.998,4763.5960000000005,,,-0.55,0,-2.01,,,user
1952685239,2026-01-20T18:21:28.509000,2026-01-20T18:21:55.486000,buy,0.02,0.02,XAUUSD,4765.097,4764.443,4764.443,4767.938,-0.22,0,-1.3,,,sl
