ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1991180744,2026-02-05T17:25:12.627000,2026-02-05T17:29:20.329000,sell,0.01,0.01,XAUUSD,4871.507,4869.280000000001,4879.212,4860.873,-0.11,0,2.23,,,user
1991177861,2026-02-05T17:24:04.946000,2026-02-05T17:24:46.811000,sell,0.01,0.01,XAUUSD,4871.261,4874.402,4874.402,4862.442,-0.11,0,-3.14,,,sl
1991166457,2026-02-05T17:19:47.833000,2026-02-05T17:20:36.849000,sell,0.01,0.01,XAUUSD,4872.403,4867.972000000001,4880.78,4860.79,-0.11,0,4.43,,,user
1991165098,2026-02-05T17:18:54.357000,2026-02-05T17:19:04.742000,buy,0.01,0.01,XAUUSD,4877.533,4876.1720000000005,,,-0.11,0,-1.36,,,user
1991162205,2026-02-05T17:17:28.467000,2026-02-05T17:18:22.526000,buy,0.01,0.01,XAUUSD,4875.344,4873.739,4873.739,4888.01,-0.11,0,-1.6,,,sl
1991160590,2026-02-05T17:16:23.592000,2026-02-05T17:17:01.846000,sell,0.01,0.01,XAUUSD,4873.534,4876.704000000001,4876.125,4868.727,-0.11,0,-3.17,,,sl
1991158578,2026-02-05T17:15:16.691000,2026-02-05T17:15:51.962000,sell,0.01,0.01,XAUUSD,4874.055,4871.773,4873.415,4867.597,-0.11,0,2.29,,,user
1991155448,2026-02-05T17:13:27.666000,2026-02-05T17:13:47.120000,sell,0.01,0.01,XAUUSD,4869.363,4872.271000000001,,,-0.11,0,-2.91,,,user
1991152668,2026-02-05T17:12:06.948000,2026-02-05T17:12:15.928000,sell,0.01,0.01,XAUUSD,4866.876,4866.409,,,-0.11,0,0.47,,,user
1991151024,2026-02-05T17:11:19.770000,2026-02-05T17:11:49.044000,buy,0.01,0.01,XAUUSD,4875.725,4872.937,4873.538,,-0.11,0,-2.79,,,sl
1991149647,2026-02-05T17:10:35.251000,2026-02-05T17:11:04.971000,buy,0.01,0.01,XAUUSD,4878.605,4873.608,,,-0.11,0,-5,,,user
1991136719,2026-02-05T17:04:29.609000,2026-02-05T17:05:47.958000,buy,0.01,0.01,XAUUSD,4871.215,4878.31,4865.48,4878.31,-0.11,0,7.09,,,tp
1991134157,2026-02-05T17:03:34.745000,2026-02-05T17:03:59.258000,buy,0.01,0.01,XAUUSD,4881.916,4876.955,,,-0.11,0,-4.96,,,user
1991129192,2026-02-05T17:01:21.453000,2026-02-05T17:01:35.930000,sell,0.01,0.01,XAUUSD,4885.996,4880.9580000000005,,,-0.11,0,5.04,,,user
1991104893,2026-02-05T16:51:16.610000,2026-02-05T16:54:07.263000,buy,0.01,0.01,XAUUSD,4901.642,4901.819,,,-0.11,0,0.18,,,user
1991014083,2026-02-05T16:14:20.588000,2026-02-05T16:14:54.418000,sell,0.01,0.01,XAUUSD,4825.099,4821.352,4827.664,4790.482,-0.11,0,3.75,,,user
1990993312,2026-02-05T16:05:45.733000,2026-02-05T16:06:00.904000,buy,0.01,0.01,XAUUSD,4821.082,4825.189,4813.151,4854.411,-0.11,0,4.11,,,user
1990952111,2026-02-05T15:50:10.020000,2026-02-05T15:53:49.034000,buy,0.01,0.01,XAUUSD,4815.867,4816.71,4803.581,4830.806,-0.11,0,0.84,,,user
1990909651,2026-02-05T15:35:28.886000,2026-02-05T15:36:03.014000,sell,0.01,0.01,XAUUSD,4818.606,4818.688,,4784.235,-0.11,0,-0.08,,,user
1990890407,2026-02-05T15:29:24.934000,2026-02-05T15:30:35.938000,sell,0.4,0.8,ETHUSD,1941.82,1955.21,1982.01,,-1,0,-5.35,,,user
