type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
sell,0.01,0.01,BTCUSD,77444.69,77786.92,78237.99,,-0.16,-3.42,user,2026-02-01 21:54:54.762000+06:00,2026-02-01 21:57:39.540000+06:00
sell,0.05,0.05,BTCUSD,77405.32,77509.95,78232.09,,-0.8,-5.23,user,2026-02-01 22:30:55.426000+06:00,2026-02-01 22:31:21.533000+06:00
sell,0.03,0.05,BTCUSD,77489.96,77254.68000000001,77510.57,75472.73,,7.06,user,2026-02-01 22:38:33.181000+06:00,2026-02-01 22:54:48.260000+06:00
sell,0.02,0.05,BTCUSD,77489.96,77275.54000000001,77510.57,75472.73,-0.8,4.29,user,2026-02-01 22:38:33.181000+06:00,2026-02-01 22:54:56.112000+06:00
sell,0.04,0.04,BTCUSD,77372.45,77302.26,77719.36,76807.61,-0.64,2.81,user,2026-02-01 23:22:21.196000+06:00,2026-02-01 23:24:06.092000+06:00
buy,0.01,0.01,BTCUSD,77483.06,77358.16,77361.34,77847.75,-0.16,-1.25,sl,2026-02-01 23:29:34.931000+06:00,2026-02-01 23:31:47.093000+06:00
sell,0.05,0.05,BTCUSD,77456.84,77315.74,77565.76,77067.2,-0.8,7.05,user,2026-02-01 23:32:33.857000+06:00,2026-02-01 23:34:37.735000+06:00
sell,0.03,0.05,BTCUSD,77399.46,77320.77,77607.05,76067.05,,2.36,user,2026-02-01 23:32:05.914000+06:00,2026-02-01 23:35:15.718000+06:00
sell,0.02,0.05,BTCUSD,77399.46,77449.05,77607.05,76067.05,-0.8,-0.99,user,2026-02-01 23:32:05.914000+06:00,2026-02-01 23:41:13.016000+06:00
sell,0.03,0.03,BTCUSD,77411.08,77491.2,77483.76,77214.84,-0.48,-2.41,sl,2026-02-01 23:43:53.628000+06:00,2026-02-01 23:46:14.733000+06:00
sell,0.05,0.05,BTCUSD,77447.6,77322.63,77511.62,77322.63,-0.8,6.25,tp,2026-02-01 23:48:20.592000+06:00,2026-02-01 23:49:13.695000+06:00
sell,0.01,0.01,XAUUSD,4720.053,4733.228,4732.762,,-0.11,-13.18,sl,2026-02-02 05:30:53.755000+06:00,2026-02-02 05:32:16.151000+06:00
sell,0.01,0.01,XAUUSD,4768.54,4727.781,4760.647,,-0.11,40.76,user,2026-02-02 05:45:35.936000+06:00,2026-02-02 05:48:54.680000+06:00
sell,0.01,0.01,XAUUSD,4744.666,4756.812,4756.311,,-0.11,-12.14,sl,2026-02-02 05:51:55.661000+06:00,2026-02-02 05:52:15.084000+06:00
sell,0.01,0.01,XAUUSD,4852.558,4839.461,4879.728,4792.526,-0.11,13.1,user,2026-02-02 06:26:25.288000+06:00,2026-02-02 06:28:40.967000+06:00
sell,0.01,0.01,XAUUSD,4833.865,4829.212,4846.277,4793.153,-0.11,4.66,user,2026-02-02 06:39:22.882000+06:00,2026-02-02 06:40:57.681000+06:00
sell,0.01,0.01,XAUUSD,4810.515,4797.921,4833.735,4752.064,-0.11,12.6,user,2026-02-02 06:44:06.941000+06:00,2026-02-02 06:44:52.908000+06:00
sell,0.01,0.01,XAUUSD,4802.59,4797.937,4821.546,4781.929,-0.11,4.65,user,2026-02-02 06:45:36.058000+06:00,2026-02-02 06:45:43+06:00
sell,0.01,0.01,XAUUSD,4796.265,4785.253,4808.746,4774.764,-0.11,11.02,user,2026-02-02 06:50:39.682000+06:00,2026-02-02 06:51:26.962000+06:00
sell,0.01,0.01,XAUUSD,4726.901,4717.453,4750.796,4663.103,-0.11,9.45,user,2026-02-02 08:02:29.018000+06:00,2026-02-02 08:07:08.469000+06:00
sell,0.01,0.01,XAUUSD,4720.499,4741.922,4741.922,4671.944,-0.11,-21.42,sl,2026-02-02 08:08:48.183000+06:00,2026-02-02 08:16:31.160000+06:00
sell,0.01,0.01,XAUUSD,4725.562,4753.448,4750.961,4647.244,-0.11,-27.89,sl,2026-02-02 08:18:18.459000+06:00,2026-02-02 08:32:01.979000+06:00
sell,0.01,0.01,XAUUSD,4755.059,4772.245,4771.143,4744.224,-0.11,-17.19,sl,2026-02-02 08:38:20.092000+06:00,2026-02-02 08:42:55.697000+06:00
sell,0.01,0.01,XAUUSD,4754.713,4737.019,4765.867,4691.179,-0.11,17.69,user,2026-02-02 08:46:04.410000+06:00,2026-02-02 08:48:45.911000+06:00
