ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1993757632,2026-02-06T19:44:00.773000,2026-02-06T19:56:30.030000,buy,0.01,0.01,XAUUSD,4952.533,4959.325,4952.811,,-0.11,0,6.8,,,user
1993748170,2026-02-06T19:27:06.492000,2026-02-06T19:36:52.874000,buy,0.01,0.01,XAUUSD,4961.116,4954.084,,,-0.11,0,-7.04,,,user
1993741544,2026-02-06T19:15:05.024000,2026-02-06T19:25:20.283000,buy,0.01,0.01,XAUUSD,4958.95,4958.767,4953.954,4968.024,-0.11,0,-0.18,,,user
1993553956,2026-02-06T16:53:03.875000,2026-02-06T16:56:29.360000,sell,0.01,0.01,XAUUSD,4944.71,4948.588,4948.588,4933.34,-0.11,0,-3.88,,,sl
1993262495,2026-02-06T14:49:42.287000,2026-02-06T14:54:53.771000,buy,0.01,0.01,XAUUSD,4939.285,4939.3460000000005,4927.306,4959.438,-0.11,0,0.06,,,user
1992132371,2026-02-06T05:24:35.671000,2026-02-06T05:26:53.356000,buy,0.01,0.01,XAUUSD,4836.186,4844.72,4827.741,4875.838,-0.11,0,8.53,,,user
1991722751,2026-02-06T01:14:56.237000,2026-02-06T01:17:29.325000,sell,0.01,0.01,XAUUSD,4748.575,4732.450000000001,4765.373,,-0.11,0,16.13,,,user
1991715972,2026-02-06T01:10:09.480000,2026-02-06T01:11:54.395000,sell,0.01,0.01,XAUUSD,4737.519,4749.189,4761.129,,-0.11,0,-11.67,,,user
1991592567,2026-02-06T00:14:55.896000,2026-02-06T00:16:12.964000,sell,0.01,0.01,XAGUSD,64.736,64.45,65.404,,-1,0,14.3,,,user
1991572749,2026-02-06T00:06:36.575000,2026-02-06T00:08:10.504000,sell,0.01,0.01,XAUUSD,4688.672,4691.993,4721.186,,-0.11,0,-3.32,,,user
1991563521,2026-02-06T00:02:40.162000,2026-02-06T00:05:29.778000,sell,0.01,0.04,XAUUSD,4698.841,4689.793,,,-0.44,0,9.05,,,user
