type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.02,0.02,BTCUSD,78940.76,78697.98,,,-0.32,-4.86,so,2026-02-01 10:22:49.492000+06:00,2026-02-01 11:07:36.590000+06:00
buy,0.02,0.02,BTCUSD,78925.25,78697.98,,,-0.32,-4.55,so,2026-02-01 10:51:15.551000+06:00,2026-02-01 11:07:36.591000+06:00
buy,0.02,0.05,BTCUSD,78701.49,78816.91,78713.48,79160.21,,2.31,user,2026-02-01 11:10:03.594000+06:00,2026-02-01 11:25:06.033000+06:00
buy,0.01,0.05,BTCUSD,78701.49,78883.08,78713.48,79160.21,,1.82,user,2026-02-01 11:10:03.594000+06:00,2026-02-01 11:27:39.279000+06:00
buy,0.01,0.05,BTCUSD,78701.49,78865.07,78713.48,79160.21,,1.64,user,2026-02-01 11:10:03.594000+06:00,2026-02-01 11:29:14.451000+06:00
buy,0.01,0.05,BTCUSD,78701.49,78701.44,78713.48,79160.21,-0.8,0.0,sl,2026-02-01 11:10:03.594000+06:00,2026-02-01 11:36:30.010000+06:00
buy,0.01,0.01,BTCUSD,78240.19,78282.85,,,-0.16,0.43,user,2026-02-01 12:52:17.025000+06:00,2026-02-01 12:54:42.941000+06:00
buy,0.02,0.04,BTCUSD,78266.31,78268.47,78193.26,78426.4,,0.04,user,2026-02-01 12:52:29.467000+06:00,2026-02-01 12:55:03.138000+06:00
buy,0.02,0.04,BTCUSD,78266.31,78294.47,78193.26,78426.4,-0.64,0.56,user,2026-02-01 12:52:29.467000+06:00,2026-02-01 12:56:21.902000+06:00
sell,0.02,0.02,BTCUSD,78249.42,78103.46,78508.25,77726.67,-0.32,2.92,user,2026-02-01 13:02:34.053000+06:00,2026-02-01 13:05:03.797000+06:00
buy,0.01,0.01,BTCUSD,78503.84,78578.71,,79373.8,-0.16,0.75,user,2026-02-01 19:08:00.675000+06:00,2026-02-01 19:46:36.491000+06:00
sell,0.02,0.02,BTCUSD,77999.2,78227.67,78224.49,,-0.32,-4.57,sl,2026-02-01 20:20:48.879000+06:00,2026-02-01 20:50:34.746000+06:00
sell,0.05,0.05,BTCUSD,78263.96,78157.8,78432.83,,-0.8,5.31,user,2026-02-01 20:52:40.381000+06:00,2026-02-01 20:54:30.351000+06:00
sell,0.02,0.05,BTCUSD,78194.34,77874.01,78116.32,,,6.41,user,2026-02-01 20:57:52.014000+06:00,2026-02-01 21:04:30.715000+06:00
sell,0.01,0.05,BTCUSD,78194.34,77861.57,78116.32,,,3.32,user,2026-02-01 20:57:52.014000+06:00,2026-02-01 21:08:00.677000+06:00
